id;content;is_correct_answer;question_id
1;this is false answer.;false;1
2;this is true answer.;true;1
3;this is true answer.;true;2
4;this is false answer.;false;2
5;this is false answer.;false;2
6;this is false answer.;false;3
7;this is true answer.;true;3
8;this is false answer.;false;3
9;this is false answer.;false;3
10;this is false answer.;false;3
11;this is true answer.;true;4
12;this is false answer.;false;4
13;this is false answer.;false;4
14;this is false answer.;false;5
15;this is true answer.;true;5
16;this is false answer.;false;5
17;this is false answer.;false;5
18;this is false answer.;false;6
19;this is false answer.;false;6
20;this is false answer.;false;6
21;this is false answer.;false;6
22;this is true answer.;true;6
23;this is true answer.;true;7
24;this is false answer.;false;7
25;this is false answer.;false;8
26;this is true answer.;true;8
27;this is false answer.;false;8
28;this is true answer.;true;9
29;this is false answer.;false;9
30;this is true answer.;true;10
31;this is false answer.;false;10
32;this is false answer.;false;10
33;this is false answer.;false;11
34;this is true answer.;true;11
35;this is false answer.;false;11
36;this is false answer.;false;11
37;this is false answer.;false;11
38;this is false answer.;false;12
39;this is false answer.;false;12
40;this is true answer.;true;12
41;this is true answer.;true;13
42;this is false answer.;false;13
43;this is false answer.;false;13
44;this is false answer.;false;13
45;this is false answer.;false;14
46;this is false answer.;false;14
47;this is true answer.;true;14
48;this is true answer.;true;15
49;this is false answer.;false;15
50;this is false answer.;false;15
